Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1806 February 8 to Henry CopeCOMMA WestownCOMMA PA,1806-02-08,DrinkerCOMMA Rachel,hsc0125,CopeCOMMA HenryCOMMA 1793-1865,F,70-80,CopeCOMMA AlfredCOMMA 1806-1875; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; DrinkerCOMMA Henry W. (Henry Waln)COMMA 1787-1866,ThomasCOMMA Arthur (born mid 1780s; son of John and Hannah Thomas); [Catherine]; cousin Lydia; MaryCOMMA Mary’s fatherCOMMA motherCOMMA and brother,Education; Society of Friends; Family; Ocean travel; Quakers--Travel; Transportation; Westtown Boarding School; Grandparent and child; Outdoor recreation; Faith,,Pennsylvania,Westtown Boarding SchoolCOMMA PA,"Though the date ""1806?"" has been applied to the letter in pencilCOMMA it seems more likely that it was written in 1807 or later because of the reference to Alfred Cope who was not born until April 1806.",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/729,729,231251717122002_hsc0125.cpd
1858 August 4COMMA to Ruth Anna Cope,1858-08-04,ReeveCOMMA Julia K.;,hsc1014,CopeCOMMA RuthannaCOMMA 1834-1879;,F,,CopeCOMMA ClementineCOMMA 1835-1903;,Edward Biddle; Cousin Frank; Aunt Racel; Cousin Elizabeth; George; Cousin Thomas; Aunt Susan; Cousin John; Unlce Edward,Family;  Health; Letter writing; Child rearing; Europe--Description and Travel;,Scotland;,,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/731,731,231271717122002_hsc1014.cpd
1911 June 29COMMA DundaleCOMMA to Alg,1911-06-29,MorrisCOMMA Joe (Joseph Paul)COMMA 1879-1919,hsc0027,EvansCOMMA Francis AlgernonCOMMA 1878-1946,M,30-40,EvansCOMMA Ernest MervynCOMMA 1884-1911,,Condolence notes;  Bereavement--Religious aspects--Society of Friends; Death,,Dundale (VillanovaCOMMA Pa.),,Watermark: “Holland linen”<br><br>Algernon’s brotherCOMMA Ernest Mervyn EvansCOMMA died on June 28 after being injured in a subway accident. <br><br>Joseph Morris wrote the letter from  DundaleCOMMA the Morris family estate in Villanova.  Now part of the university’s campusCOMMA the mansion was erected in 1890 as  a retreat from the city for Israel Morris’s son Theodore (who had just attained the presidency of Morris & WheelerCOMMA his father’s iron company) and his many children.  The building currently houses the development offices of  Villanova University.<br><br>All information from Stokes’  Stokes Cope Emlen Evans Genealogy (1982)COMMA the printed eulogy  of Ernest Mervyn EvansCOMMA and various Villanova University  websites.  A picture of Dundale may be found online at  www.villanova.edu/maps/bldgs/dundale.htm.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/733,733,26341717122002_hsc0027.cpd
1839 March 6COMMA to Elizabeth W. CopeCOMMA Philadelphia,1839-03-06,StokesCOMMA MaryCOMMA 1825-1847,hsc0037,CopeCOMMA Elizabeth W. (Elizabeth Stokes Waln)COMMA 1780-1852,F,10-20,CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; ComstockCOMMA Nathan D.COMMA 1821?-1839; KiteCOMMA EdithCOMMA 1777-1861; WalnCOMMA JosephCOMMA 1762?-1824?,Benjamin Sharpless (two possibilities exist: B. SharplessCOMMA d. 1852COMMA member of Birmingham Monthly Meeting; B. SharplessCOMMA d. 1858COMMA member of Rock Creek Monthly Meeting); Uncle Samuel; Aunt Lydia; Cous. L.,Westtown Boarding School; Cold (Disease); Measles; Death--Religious aspects--Society of Friends; Tuberculosis; Funeral service--Society of Friends,Lockport (N.Y.),Westtown Boarding School,Philadelphia (Pa.),"(in pencil: 1839 Eliz. Stokes married Jos. Hall & [later?] our [8th?] grandfather T.P. Cope; from Aunt Mary Stokes to “Aunt” 2nd wife of Thos. P. Cope)<br><br>Elizabeth Stokes Waln Cope was Mary Stokes’s great-aunt.<br><br>Thomas KiteCOMMA whose wife and daughter were mentioned in this letterCOMMA had two daughters.  Susanna Kite Sharpless was the daughter of his first wife and was married by the time this letter was  written.  Rebecca KiteCOMMA later BrownCOMMA was the daughter of his second wife and was fifteen at the time the letter was written.  The daughter mentioned is more likely the daughter of his second wifeCOMMA to whom he was married at the time of the letter.  <br><br>The watermark is as follows: AmiesCOMMA underneath Phila and a drawing of a bird with a branch in its beak.  The imprint is too faint to decipher.<br><br>The following text was written in pencil on the mailing information portion of the letterCOMMA in another handCOMMA probably that of Elizabeth Stewardson Cope: 1839 Eliz. Stokes married Jos. Hall & [later?] our [8th?] grandfather T.P. Cope from Aunt Mary Stokes to ""Aunt"" 2nd wife of Thos. P. Cope",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/735,735,27871717122002_hsc0037.cpd
1867 July 28COMMA Laurel HouseCOMMA to Father,1867-07-28,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944,hsc0110,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,10-20,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; BrownCOMMA JohnCOMMA 1800-1859; BrownCOMMA Elizabeth H.COMMA b. 1840?; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; StokesCOMMA Tom (Thomas Pym Cope)COMMA 1843-1918;    CopeCOMMA ClementineCOMMA 1835-1903; EmlenCOMMA Eleanor CopeCOMMA 1854-1920; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA HenryCOMMA 1850-1924; CopeCOMMA MargaretCOMMA 1856-1948; CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA WalterCOMMA 1861-1902;,Georges? (might be a hotel name),Family; Overweight children; Health; Mountains--New York (State); Dentures; Outdoor recreation; Brothers and sisters; Quakers--Voyages and Travels; Transportation; Nature;,Newport (R.I.); Halifax (N.S.); Boston (Mass.); Albany (N.Y.);  Adirondack Mountains (N.Y.); Lake Placid (N.Y.),Laurel House [CatskillCOMMA New York],England,<br>,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/737,737,28241717122002_hsc0110.cpd
1839 January 10COMMA West HaverfordCOMMA to Anna S. BrownCOMMA Philadelphia,1839-11-10,BrownCOMMA Thomas S.COMMA b. 1828; BrownCOMMA William A.COMMA b. 1824; FarnumCOMMA Elizabeth H.COMMA 1814-1898?;,hsc0113,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,10-20,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916;        SmithCOMMA Daniel B.COMMA 1792-1883; DavisCOMMA Elizabeth H.COMMA b. 1814; DavisCOMMA IsaacCOMMA 1783-1849; DavisCOMMA Mary W.COMMA 1785-1864; StewardsonCOMMA RachelCOMMA 1793?-1839; StewardsonCOMMA AnnCOMMA 1798?-1883,,Education; Family; Haverford College--Students; Health; Outdoor recreation; Brothers and sisters; Obedience; Tonics (Medicinal preparations),,Haverford College,Philadelphia (Pa.),Letter is written in three different hands.<br><br>Notes  probably written later:<br>“1.10.1839 –<br>Uncle Tom & Uncle  Will write to Mother from Haverford.  Elizabeth Davis  daughter of Isaac ” the SuperintendantCOMMA afterward because  Eliz. FarnumCOMMA also writes & tell how the little boys are  getting on.”,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/738,738,294241717122002_hsc0113.cpd
1806 June 19 to Henry and FrancisCOMMA Weston,1806-06-19,DrinkerCOMMA Rachel; ThomasCOMMA John D.,hsc0126,CopeCOMMA HenryCOMMA 1793-1865,F; M,70-80,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; ThomasCOMMA John D.; ThomasCOMMA HannahCOMMA 1760-1806,cousins  (too many to list); Arthur (probably Arthur ThomasCOMMA a cousin of HenryCOMMA FrancisCOMMA and John); Henry (probably Henry Waln DrinkerCOMMA 1787-1866),Bereavement--Religious aspects--Society of Friends;  Family; Health; Quakers--Death; Westtown Boarding School; Quakers--Travel; Faith; Society of Friends,West Indies,Pennsylvania,Westtown Boarding SchoolCOMMA PA,Written by two different authors; announcing the death of Hannah DrinkerCOMMA 1760-1806.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/739,739,294251717122002_hsc0126.cpd
1911 October 28COMMA Str. “Dalmatia”COMMA to Alg,1911-10-28,MorrisCOMMA Joe (Joseph Paul)COMMA 1879-1919,hsc0028,EvansCOMMA Francis AlgernonCOMMA 1878-1946,M,30-40,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939;        EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976; EvansCOMMA HaroldCOMMA 1886-1977; EvansCOMMA Jacqueline Pascal MorrisCOMMA 1886-1947; Dorcas (Biblical figure);,Nat GrotonCOMMA Miss Richardson (a nurse?),Ocean Voyages and Travels;  Voyages and Travels--Religious aspects--Christianity; Bible--N.T.; Crusades--ThirdCOMMA 1189-1192; Tipping; Palestine--Description and Travel;,Jaffa (Tel AvivCOMMA Israel); Haifa (Israel); Palestine; Beirut (Lebanon); Damascus (Syria); HermonCOMMA Mount (Lebanon and Syria); Galilee (Israel); Sabastiyah (Israel); Jerusalem; CarmelCOMMA Mount (Israel); Acre (Israel),,,Letter is from the steamer Dalmatia.  Stationery bears crest      in blue with the word“Vorwaerts” (forwardCOMMA in German) under      an anchor and crown. Underneath crest are the words      “Oesterreichischer Lloyd. Triest.”  Large watermark      depicting a crown and the words “Imperial      Century.”<br><br>The city of Acre was captured by King      Philip Augustus of France and King Richard the Lion-Hearted      of England during the Third Crusade      (1189-1192).<br><br>BakshishCOMMA stemming from the Persian for      “to giveCOMMA” means to tip.<br><br>The stories of TabithaCOMMA      Simon the TannerCOMMA and Peter’s vision are from Acts      9:26-10:15.  Peter raised Tabitha (also called Dorcas)COMMA a      charitable womanCOMMA from the dead in the town of Joppa.  He      stayed there at the home of Simon the Tanner (today the      house is open for visitors)COMMA where he had his vision of      animals trapped in a sheetCOMMA which the Lord bade him to eat.       When he refusedCOMMA protesting that the Lord had designated      some of them unclean for consumptionCOMMA the Lord repliedCOMMA      “What God hath cleansedCOMMA make not thou common.”  Following      this visionCOMMA Peter visited a Gentile named Cornelius and      widened the scope of Christian ministry (then practiced      within JudaismCOMMA as it was considered unclean for a Jew to      minister to a Gentile) to include those outside the Jewish      faith.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/744,744,34141717122002_hsc0028.cpd
1905 August 27COMMA Northeast HarborCOMMA MeCOMMA to Jonnie,1905-08-27,LewisCOMMA William DraperCOMMA 1867-1949,hsc0038,EvansCOMMA JonathanCOMMA 1843-1911,M,30-40,EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976;        MikellCOMMA   William EphraimCOMMA 1868-1945;,Henry Lewis; Kratz,Law students--United States;  Weather; Health;,Northeast Harbor (Me.); Narragansett (R.I.),Northeast Harbor (Me.),,Watermark reads “Old Berkshire Mills 1895”,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/745,745,35671717122002_hsc0038.cpd
N.D. to Chellie,,BuffumCOMMA Joanna Sophia,hsc0114,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939;        BuffumCOMMA Joanna Sophia,Mother (Joanna’s mother); Baby William [Buffum]; Anna; Mary Jane,Child rearing;  Nannies; Clothing and dress--Cleaning; Women domestics; Domestics,New York (N.Y.); Philadelphia (Pa.),,,Undated.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/747,747,372241717122002_hsc0114.cpd
1865 April 25COMMA BaltimoreCOMMA to Net,1865-04-25,CopeCOMMA ClementineCOMMA 1835-1903,hsc0003,CopeCOMMA AnnetteCOMMA 1843-1916,F,20-30,BeecherCOMMA Thomas KinnicutCOMMA 1824-1900; YarnallCOMMA Francis CopeCOMMA 1830-1890; CopeCOMMA AnnetteCOMMA 1843-1916; CareyCOMMA SusanCOMMA 1821-1913; BeecherCOMMA Henry WardCOMMA 1813-1887; M’KimCOMMA J. Miller (James Miller)COMMA 1810-1874; MatthewsCOMMA Susan; KimberCOMMA AnthonyCOMMA 1824?-1917; EdgeCOMMA Elizabeth D.; YarnallCOMMA Mary,Alford CoaleCOMMA Mary PennymanCOMMA Jenny HarrisCOMMA Lizzie HopkinsCOMMA Mrs. [MCaff---]COMMA and Ellen Carey,LincolnCOMMA AbrahamCOMMA 1809-1865--Assassination;  Clothing and dress; Bible--Study and teaching--Society of Friends; Freedmen--United States; Society of Friends,Ardmore (Pa.); Philadelphia (Pa.),Baltimore (Md.),Philadelphia (Pa.),“64” written in pencil and is an incorrect    date.<br>CrosshatchedCOMMA and stricken throughCOMMA are the words    “They have very nice school books” — the crosshatching    matches the orientation of the text on the front page of the    first sheet and is perpendicular to the text on the back    page.<br>crosshatched along left side: “[this?] [scribble]    [week?] & think I should write to”]<br><br>The lack of    connection between subject matters in the first two and    second two pages of the letterCOMMA the different sizes of the    two sheets of paperCOMMA and the style of pagination indicate    that the sheets may be from two separate letters.     AdditionallyCOMMA the letter has no closing.<br><br>The town of    Athensville is mentioned in the letter.  Situated several    miles from PhiladelphiaCOMMA Athensville was named in 1811 by    Dr. James AndersonCOMMA a local landholder.  Athensville was    rechristened Ardmore (Gaelic for high ground or hill) in    1873.<br>,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/748,748,372451717122002_hsc0003.cpd
1806 June 9 to Henry and FrancisCOMMA Weston School,1806-06-09,DrinkerCOMMA Rachel; ThomasCOMMA John D.,hsc0127,CopeCOMMA HenryCOMMA 1793-1865,F; M,70-80,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA JasperCOMMA 1775-1856; CopeCOMMA Rebecca ShoemakerCOMMA 1781-1853,“Auther” (probably Arthur ThomasCOMMA a cousin of HenryCOMMA FrancisCOMMA and John); Henry (probably Henry Waln DrinkerCOMMA 1787-1866); Lydia Cope (dates and relationship unknown),Urban health; Caribbean Area-History-To 1810; Capture at sea; Weather; Ocean travel; Sailing; Great Britain--Foreign relations--19th century; France--Foreign relations--1792-1815; Shipping,Saint Thomas (V.I.); Haiti; Cap-Français (Haiti),Philadelphia (Pa.),Westtown (Pa.),"Written by two different authors; The date with the address has been changed/written-over to read ""6"" mo rather than ""9"" mo.<br>",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/749,749,388251717122002_hsc0127.cpd
1877 November 20COMMA GemantownCOMMA to Clementine CopeCOMMA Steamer Pennsylvania,1877-11-20,RhoadsCOMMA James E. (James Evans)COMMA 1828-1895,hsc1016,CopeCOMMA ClementineCOMMA 1835-1903,M,,,Walter Robson; Margaraet Rhoads,Ocean travel;  Faith,,Germantown (PhiladelphiaCOMMA Pa.),Steamer Pennsylvania,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/751,751,388271717122002_hsc1016.cpd
1863 August 30COMMA CatskillCOMMA to My dear Mother,1863-08-30,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,hsc0100,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,10-20,CopeCOMMA ClementineCOMMA 1835-1903; CopeCOMMA Francis ReeveCOMMA 1821-1909; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944;,,Voyages and Travels; Interior decoration; Landscape; Clothing and dress; Family; Travel--Religious aspects--Christianity; Food habits; Religious institutions; Rural transportation; New York (State)--Description and Travel,Catskill Mountains (N.Y.); West Point (N.Y.); Catskill (N.Y.); Hudson River (N.Y. and N.J.); Hudson Highlands (N.Y.); Saratoga (N.Y.); Lake George (N.Y.); Boston (Mass.); Nahant (Mass.),Catskill (N.Y.),Philadelphia (Pa.),The Mount Washington mentioned in the letter is likely not the Mount Washington located in New HampshireCOMMA as it lies too far to be seen from the Catskills.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/752,752,403131717122002_hsc0100.cpd
1905 August 14COMMA Bridgewater CottageCOMMA to My very dear friends,1905-08-14,MorrisCOMMA Sibylla T.COMMA b. 1826,hsc0029,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,F,70-80,CopeCOMMA AnnetteCOMMA 1843-1916;CopeCOMMA Susan L. NewboldCOMMA 1805-1872; WalkerCOMMA Sarah MillerCOMMA 1799-1874; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; CarmaltCOMMA SarahCOMMA b.1795; PriceCOMMA WilliamCOMMA b. 1788,Elisha K. Townsend; Priscilla Townsend,Westtown Boarding School;  Letter writing; Age factors in disease; Dental schools,Hampton (Va.); China; Philadelphia (Pa.); Woodbourne (Susquehanna CountyCOMMA Pa.),Bridgewater CottageCOMMA Hampton (Va.),Germantown (PhiladelphiaCOMMA Pa.),Annotated in pencil.<br><br>[HamptonCOMMA VA]<br><br>The letter appears to be written to both Caroline Elizabeth and Annette    Cope.<br><br>The Philadelphia Dental College was established    in 1863 and operated under that name until 1909COMMA at which    time Temple University (which had purchased the school two    years earlier) renamed it the Temple University School of    Dentistry.  Information from various Temple University    websites and Jean Barth Toll and Mildred S. GillanCOMMA eds.COMMA    Invisible Philadelphia: Community Through Voluntary    Organizations (Philadelphia: Atwater Kent MuseumCOMMA 1995).,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/754,754,43441717122002_hsc0029.cpd
